MAIN_ROAD,CITY_DISTRICT,ADDRESS,BUILD_1ST_NUM,BUILD_2ND_NUM,COMPLEX_NAME,AREA,CONTRACT_YEAR_MONTH,CONTRACT_DAY,AMOUNT,FLOOR,CONSTRUCTION_YEAR,ROAD_NAME,TERMINATION_DATE,TRANSACTION_TYPE,BROKER_LOCATION,ROAD_NUM
강남대로30길,11,11,11,11,11,11,11,11,11,11,11,11,0,11,11,11
강남대로34길,16,16,16,16,16,16,16,16,16,16,16,16,1,16,16,16
강남대로39길,61,61,61,61,61,61,61,61,61,61,61,61,2,61,61,61
강남대로43길,5,5,5,5,5,5,5,5,5,5,5,5,0,5,5,5
강남대로44길,4,4,4,4,4,4,4,4,4,4,4,4,0,4,4,4
강남대로45길,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
강남대로48길,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,2
강남대로53길,159,159,159,159,159,159,159,159,159,159,159,159,2,159,159,159
강남대로54길,6,6,6,6,6,6,6,6,6,6,6,6,0,6,6,6
강남대로55길,19,19,19,19,19,19,19,19,19,19,19,19,0,19,19,19
강남대로61길,55,55,55,55,55,55,55,55,55,55,55,55,2,55,55,55
강남대로6길,15,15,15,15,15,15,15,15,15,15,15,15,1,15,15,15
강남대로79길,3,3,3,3,3,3,3,3,3,3,3,3,0,3,3,3
강남대로84길,40,40,40,40,40,40,40,40,40,40,40,40,0,40,40,40
강남대로94길,3,3,3,3,3,3,3,3,3,3,3,3,0,3,3,3
강남대로95길,21,21,21,21,21,21,21,21,21,21,21,21,0,21,21,21
강남대로99길,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
강남초등4길,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
강남초등길,4,4,4,4,4,4,4,4,4,4,4,4,0,4,4,4
강동대로,34,34,34,34,34,34,34,34,34,34,34,34,0,34,34,34
강동대로51길,17,17,17,17,17,17,17,17,17,17,17,17,0,17,17,17
강동대로53길,34,34,34,34,34,34,34,34,34,34,34,34,1,34,34,34
강동대로55길,13,13,13,13,13,13,13,13,13,13,13,13,0,13,13,13
강동대로9길,14,14,14,14,14,14,14,14,14,14,14,14,0,14,14,14
강변역로4길,29,29,29,29,29,29,29,29,29,29,29,29,0,29,29,29
강서로,900,900,900,900,900,900,900,900,900,900,900,900,13,900,900,900
강서로10길,22,22,22,22,22,22,22,22,22,22,22,22,0,22,22,22
강서로12길,19,19,19,19,19,19,19,19,19,19,19,19,2,19,19,19
강서로13길,4,4,4,4,4,4,4,4,4,4,4,4,0,4,4,4
강서로15길,6,6,6,6,6,6,6,6,6,6,6,6,0,6,6,6
